img_id,m_0_0,m_0_1,m_1_1,lamda_max,lamda_min,min_intensity,max_intensity,mean,standard_deviation,lamda_max_min_diff,answer
20150916T151026.451457_left_28_87_29.jpg,11556.6,8230.05,171.761,11565.4,8221.2,23.7181,253.022,137.469,84.3462,3344.2,1
20150916T151027.555014_right_3_49_28.jpg,7222.96,8815.45,-875.772,9202.84,6835.57,44.4199,250.747,142.673,64.0903,2367.27,1
20150916T151038.865165_right_3_80_35.jpg,7233.74,5809.42,146.532,7248.66,5794.5,60.9906,252.669,198.234,55.243,1454.16,1
20150916T151022.305716_left_28_76_41.jpg,11967.2,8479.85,140.596,11972.9,8474.19,35.7115,252.82,105.502,62.0506,3498.71,1
20150916T151038.563762_right_3_79_35.jpg,6757.02,6144.69,-14.0174,6757.34,6144.37,59.9813,252.437,194.094,56.9847,612.97,1
20150916T151036.554276_right_12_78_20.jpg,4492.02,1901.37,-74.9453,4494.19,1899.2,64.12,253.454,210.199,48.468,2594.99,1
20150916T151022.629995_right_12_54_39.jpg,7057.75,10674.1,1578.15,11265.9,6465.9,65.6226,251.114,148.195,61.4513,4800.0,1
20150916T151027.555014_right_28_49_28.jpg,6023.26,7343.99,-308.455,7412.48,5954.77,44.6106,252.129,138.986,63.3096,1457.71,1
20150916T151024.358708_left_28_77_36.jpg,13266.8,10007.9,-274.177,13289.7,9984.95,36.2589,251.769,126.738,72.1985,3304.75,1
20150916T151024.688583_left_12_57_33.jpg,1927.01,5283.49,-374.111,5324.68,1885.81,39.5288,242.392,124.313,55.8196,3438.87,1
20150916T151022.060481_right_12_75_41.jpg,4462.74,11277.5,315.929,11292.2,4448.12,46.807,251.781,147.787,71.5683,6844.08,1
20150916T151023.346577_right_28_40_29.jpg,2240.16,2923.58,176.427,2966.44,2197.3,27.2438,196.779,90.4044,38.6238,769.14,1
20150916T151026.451457_left_12_52_35.jpg,6700.57,8297.34,340.341,8366.85,6631.05,51.3729,252.766,128.506,67.2093,1735.8,1
20150916T151022.305716_left_12_76_41.jpg,6973.9,11317.9,-260.033,11333.4,6958.39,35.2106,252.799,130.396,73.7646,4375.01,1
20150916T151025.085992_right_28_54_37.jpg,4942.02,5992.98,-36.6403,5994.25,4940.75,62.2669,250.714,137.226,52.0495,1053.5,1
20150916T151027.267104_right_3_68_33.jpg,11280.4,6082.81,190.063,11287.3,6075.87,43.2358,252.823,153.488,63.6895,5211.43,1
20150916T151027.866000_right_3_52_31.jpg,5221.58,9739.37,41.3387,9739.74,5221.2,46.0168,249.202,138.517,65.5186,4518.54,1
20150916T151022.060481_left_28_76_41.jpg,11925,8476.34,136.914,11930.4,8470.92,35.5397,252.748,105.535,62.0915,3459.48,1
20150916T151027.555014_left_12_52_32.jpg,6597.7,8097.12,-380.568,8188.18,6506.64,49.9166,252.781,143.82,67.0068,1681.54,1
20150916T151029.634618_left_28_92_35.jpg,3448.31,7140.74,329.892,7169.98,3419.07,80.1529,250.859,167.865,50.6985,3750.91,1
20150916T151024.688583_left_3_67_40.jpg,14338.3,10692.7,657.632,14453.3,10577.7,41.6902,251.448,124.949,63.9761,3875.6,1
20150916T151023.620874_left_3_67_40.jpg,5244.06,12912.9,-534.129,12949.9,5207.04,42.1977,251.073,140.831,59.699,7742.86,1
20150916T151028.435618_right_12_90_36.jpg,4089.8,5484.6,-83.6259,5489.59,4084.8,51.8449,246.599,123.658,56.6509,1404.79,1
20150916T151024.358708_right_28_75_36.jpg,11636.5,9394.45,599.733,11786.8,9244.1,45.8964,253.065,148.933,70.0873,2542.7,1
20150916T151024.010245_left_28_76_38.jpg,11258.4,15314.6,-79.1356,15316.1,11256.8,37.8036,252.477,140.868,73.9035,4059.3,1
20150916T151028.435618_right_12_91_39.jpg,3009.16,7435.28,57.5257,7436.03,3008.41,57.9615,249.26,126.897,50.6522,4427.62,1
20150916T151022.060481_right_12_58_32.jpg,3328.66,8169.58,173.145,8175.77,3322.48,62.7992,237.726,140.865,37.9251,4853.29,1
20150916T151026.139450_right_3_67_37.jpg,11393.4,7668.06,341.363,11424.4,7637.04,48.7738,253.073,150.769,64.2561,3787.36,1
20150916T151028.769482_right_12_64_29.jpg,5162.85,5256.75,551.771,5763.56,4656.03,63.7965,253.314,166.382,66.6386,1107.53,1
20150916T151024.010245_right_12_57_31.jpg,2404.29,5951.41,60.4805,5952.44,2403.26,41.962,236.997,131.443,52.1582,3549.18,1
20150916T151022.974987_right_3_54_35.jpg,6557.46,4946.46,302.025,6612.23,4891.7,65.9555,250.947,132.21,48.1389,1720.53,1
20150916T151029.634618_right_12_43_32.jpg,2850.61,8350.65,-177.283,8356.36,2844.9,54.3678,247.76,124.737,61.9106,5511.46,1
20150916T151022.629995_right_12_57_31.jpg,2436.91,5968.59,194.818,5979.3,2426.2,43.0377,236.789,132.097,52.0124,3553.1,1
20150916T151037.437838_left_3_10_27.jpg,5051.21,4748.33,198.956,5149.8,4649.74,36.8194,253.242,176.332,73.7008,500.06,1
20150916T151030.421114_right_28_57_33.jpg,3019.07,7480.64,654.541,7574.69,2925.03,61.8134,245.595,141.776,60.1285,4649.66,1
20150916T151026.451457_right_12_50_35.jpg,6572.28,8595.56,-260.859,8628.65,6539.19,49.564,253.087,139.656,64.4109,2089.46,1
20150916T151022.974987_left_3_67_40.jpg,5525.55,12807.9,-540.206,12847.8,5485.69,41.8904,251.401,139.479,59.7418,7362.11,1
